Name,Slug,Photo URL,Wikipedia URL,Birthday
Sebastian Stan,Sebastian_Stan,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Sebastian_Stan-64526.jpg/220px-Sebastian_Stan-64526.jpg,https://en.wikipedia.org/wiki/Sebastian_Stan,"13th August, 1982"
Yura Borisov,Yura_Borisov,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Yura_Borisov_at_the_2024_Toronto_International_Film_Festival_%28Cropped%29.jpg/220px-Yura_Borisov_at_the_2024_Toronto_International_Film_Festival_%28Cropped%29.jpg,https://en.wikipedia.org/wiki/Yura_Borisov,"8th December, 1992"
Kieran Culkin,Kieran_Culkin,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/ARealPainBFILFF131024_%2882_of_138%29_%2854065186044%29_%28cropped%29_%28cropped%29.jpg/220px-ARealPainBFILFF131024_%2882_of_138%29_%2854065186044%29_%28cropped%29_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Kieran_Culkin,"30th September, 1982"
Guy Pearce,Guy_Pearce,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Guy_Pearce_Cannes_2012_%28revised%29.jpg/220px-Guy_Pearce_Cannes_2012_%28revised%29.jpg,https://en.wikipedia.org/wiki/Guy_Pearce,"5th October, 1967"
Jeremy Strong,Jeremy_Strong,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Jeremy_Strong_at_%22The_Apprentice%22_in_NYC_01_%28cropped%29.jpg/220px-Jeremy_Strong_at_%22The_Apprentice%22_in_NYC_01_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Jeremy_Strong,"25th December, 1978"
Karla Sofía Gascón,Karla_Sof%C3%ADa_Gasc%C3%B3n,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Karla_Sofia_Gascon_at_TIFF_2024_the_2024_Toronto_International_Film_Festival.jpg/220px-Karla_Sofia_Gascon_at_TIFF_2024_the_2024_Toronto_International_Film_Festival.jpg,https://en.wikipedia.org/wiki/Karla_Sof%C3%ADa_Gasc%C3%B3n,"31st March, 1972"
Mikey Madison,Mikey_Madison,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Mikey_Madison_at_the_2024_New_York_Film_Festival_2_%28cropped_3%29.jpg/220px-Mikey_Madison_at_the_2024_New_York_Film_Festival_2_%28cropped_3%29.jpg,https://en.wikipedia.org/wiki/Mikey_Madison,
Fernanda Torres,Fernanda_Torres,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/ImStillHereBFILFF131024_%284_of_36%29_%2854065967346%29_%28cropped%29.jpg/220px-ImStillHereBFILFF131024_%284_of_36%29_%2854065967346%29_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Fernanda_Torres,"15th September, 1965"
Demi Moore,Demi_Moore,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Demi_Moore_at_the_2024_Toronto_International_Film_Festival_3_%28cropped%29_%28cropped%29.jpg/220px-Demi_Moore_at_the_2024_Toronto_International_Film_Festival_3_%28cropped%29_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Demi_Moore,"11th November, 1962"
Monica Barbaro,Monica_Barbaro,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Monica_Barbaro_Flies_with_Blue_Angels_%281%29_%28cropped%29.jpg/220px-Monica_Barbaro_Flies_with_Blue_Angels_%281%29_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Monica_Barbaro,"17th June, 1989"
