"Name","Slug","Photo URL","Wikipedia URL","Birthday"
"Michael B. Jordan","Michael-B.-Jordan","https://upload.wikimedia.org/wikipedia/commons/8/8e/Michael_B_Jordan_-_Sinners.jpg","https://en.wikipedia.org/wiki/Michael_B._Jordan","9th February, 1987"
"Wagner Moura","Wagner-Moura","https://upload.wikimedia.org/wikipedia/commons/8/85/Wagner_Moura-6546.jpg","https://en.wikipedia.org/wiki/Wagner_Moura","27th June, 1976"
"Jacob Elordi","Jacob-Elordi","https://upload.wikimedia.org/wikipedia/commons/9/93/JacobElordi-TIFF2025-01_%28cropped_2%29.png","https://en.wikipedia.org/wiki/Jacob_Elordi","26th June, 1997"
"Delroy Lindo","Delroy-Lindo","https://upload.wikimedia.org/wikipedia/commons/e/e5/Delroy_Lindo_cropped.jpg","https://en.wikipedia.org/wiki/Delroy_Lindo","18th November, 1952"
"Stellan Skarsgård","Stellan-Skarsg%C3%A5rd","https://upload.wikimedia.org/wikipedia/commons/0/0e/Stellan_Skarsg%C3%A5rd-9707_%28cropped%29.jpg","https://en.wikipedia.org/wiki/Stellan_Skarsg%C3%A5rd","13th June, 1951"
"Rose Byrne","Rose-Byrne","https://upload.wikimedia.org/wikipedia/commons/1/14/Rose_Byrne_Blue_Moon-21_%28cropped%29.jpg","https://en.wikipedia.org/wiki/Rose_Byrne","24th July, 1979"
"Renate Reinsve","Renate-Reinsve","https://upload.wikimedia.org/wikipedia/commons/4/4f/Renate_Reinsve-9937.jpg","https://en.wikipedia.org/wiki/Renate_Reinsve","24th November, 1987"
"Elle Fanning","Elle-Fanning","https://upload.wikimedia.org/wikipedia/commons/b/ba/Elle_Fanning_at_the_2025_Cannes_Film_Festival.jpg","https://en.wikipedia.org/wiki/Elle_Fanning","9th April, 1998"
"Inga Ibsdotter Lilleaas","Inga-Ibsdotter-Lilleaas","https://upload.wikimedia.org/wikipedia/commons/2/23/Inga_Ibsdotter_Lilleaas-9741.jpg","https://en.wikipedia.org/wiki/Inga_Ibsdotter_Lilleaas","9th April, 1989"
"Wunmi Mosaku","Wunmi-Mosaku","https://upload.wikimedia.org/wikipedia/commons/7/7d/Wunmi_Mosaku_-_Sinners.jpg","https://en.wikipedia.org/wiki/Wunmi_Mosaku","31st July, 1986"
"Teyana Taylor","Teyana-Taylor","https://upload.wikimedia.org/wikipedia/commons/1/1d/Teyana_Taylor_%28cropped%29.jpg","https://en.wikipedia.org/wiki/Teyana_Taylor","10th December, 1990"
"Josh Safdie","Josh-Safdie","https://upload.wikimedia.org/wikipedia/commons/9/97/Josh_Safdie_%282010%29.png","https://en.wikipedia.org/wiki/Josh_Safdie","3rd April, 1984"
"Joachim Trier","Joachim-Trier","https://upload.wikimedia.org/wikipedia/commons/9/97/Joachim_Trier-9987.jpg","https://en.wikipedia.org/wiki/Joachim_Trier","1st March, 1974"
"Max Richter","Max-Richter","https://upload.wikimedia.org/wikipedia/commons/9/9b/Max_Richter_at_Berlinale_2024.jpg","https://en.wikipedia.org/wiki/Max_Richter","22nd March, 1966"
